InvoiceId,CustomerId,InvoiceDate,BillingAdress,BillingCity,BillingState,BillingCountry,BillingPostalCode,Total
300,40,8/13/12 0:00,"8, Rue Hanovre",Paris,,France,75002,0.99
301,41,8/26/12 0:00,"11, Place Bellecour",Lyon,,France,69002,1.98
302,43,8/26/12 0:00,"68, Rue Jouvence",Dijon,,France,21000,1.98
303,45,8/27/12 0:00,ErzsÌ©bet krt. 58.,Budapest,,Hungary,H-1073,3.96
304,49,8/28/12 0:00,Ordynacka 10,Warsaw,,Poland,00-358,5.94
305,55,8/31/12 0:00,421 Bourke Street,Sidney,NSW,Australia,2010,8.91
306,5,9/5/12 0:00,Klanova 9/506,Prague,,Czech Republic,14700,16.86
307,19,9/13/12 0:00,1 Infinite Loop,Cupertino,CA,USA,95014,1.99
308,20,9/26/12 0:00,541 Del Medio Avenue,Mountain View,CA,USA,94040-111,3.98
309,22,9/26/12 0:00,120 S Orange Ave,Orlando,FL,USA,32801,3.98
310,24,9/27/12 0:00,162 E Superior Street,Chicago,IL,USA,60611,7.96
311,28,9/28/12 0:00,302 S 700 E,Salt Lake City,UT,USA,84102,11.94
312,34,10/1/12 0:00,Rua da AssunÌ¤Ì£o 53,Lisbon,,Portugal,,10.91
313,43,10/6/12 0:00,"68, Rue Jouvence",Dijon,,France,21000,16.86
314,57,10/14/12 0:00,"Calle Lira, 198",Santiago,,Chile,,0.99
315,58,10/27/12 0:00,"12,Community Centre",Delhi,,India,110017,1.98
316,1,10/27/12 0:00,"Av. Brigadeiro Faria Lima, 2170",SÌ£o JosÌ© dos Campos,SP,Brazil,12227-000,1.98
317,3,10/28/12 0:00,1498 rue BÌ©langer,MontrÌ©al,QC,Canada,H2G 1A7,3.96
318,7,10/29/12 0:00,"RotenturmstraÌÙe 4, 1010 Innere Stadt",Vienne,,Austria,1010,5.94
319,13,11/1/12 0:00,Qe 7 Bloco G,BrasÌ_lia,DF,Brazil,71020-677,8.91
320,22,11/6/12 0:00,120 S Orange Ave,Orlando,FL,USA,32801,13.86
321,36,11/14/12 0:00,TauentzienstraÌÙe 8,Berlin,,Germany,10789,0.99
322,37,11/27/12 0:00,Berger StraÌÙe 10,Frankfurt,,Germany,60316,1.98
323,39,11/27/12 0:00,"4, Rue Milton",Paris,,France,75009,1.98
324,41,11/28/12 0:00,"11, Place Bellecour",Lyon,,France,69002,3.96
325,45,11/29/12 0:00,ErzsÌ©bet krt. 58.,Budapest,,Hungary,H-1073,5.94
326,51,12/2/12 0:00,Celsiusg. 9,Stockholm,,Sweden,11230,8.91
327,1,12/7/12 0:00,"Av. Brigadeiro Faria Lima, 2170",SÌ£o JosÌ© dos Campos,SP,Brazil,12227-000,13.86
328,15,12/15/12 0:00,700 W Pender Street,Vancouver,BC,Canada,V6C 1G8,0.99
329,16,12/28/12 0:00,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,1.98
330,18,12/28/12 0:00,627 Broadway,New York,NY,USA,10012-2612,1.98
331,20,12/29/12 0:00,541 Del Medio Avenue,Mountain View,CA,USA,94040-111,3.96
332,24,12/30/12 0:00,162 E Superior Street,Chicago,IL,USA,60611,5.94
333,30,1/2/13 0:00,230 Elgin Street,Ottawa,ON,Canada,K2P 1L7,8.91
334,39,1/7/13 0:00,"4, Rue Milton",Paris,,France,75009,13.86
335,53,1/15/13 0:00,113 Lupus St,London,,United Kingdom,SW1V 3EN,0.99
336,54,1/28/13 0:00,110 Raeburn Pl,Edinburgh,,United Kingdom,EH4 1HH,1.98
337,56,1/28/13 0:00,307 Macacha GÌ_emes,Buenos Aires,,Argentina,1106,1.98
338,58,1/29/13 0:00,"12,Community Centre",Delhi,,India,110017,3.96
339,3,1/30/13 0:00,1498 rue BÌ©langer,MontrÌ©al,QC,Canada,H2G 1A7,5.94
340,9,2/2/13 0:00,SÌünder Boulevard 51,Copenhagen,,Denmark,1720,8.91
341,18,2/7/13 0:00,627 Broadway,New York,NY,USA,10012-2612,13.86
342,32,2/15/13 0:00,696 Osborne Street,Winnipeg,MB,Canada,R3L 2B9,0.99
343,33,2/28/13 0:00,5112 48 Street,Yellowknife,NT,Canada,X1A 1N6,1.98
344,35,2/28/13 0:00,"Rua dos CampeÌµes Europeus de Viena, 4350",Porto,,Portugal,,1.98
345,37,3/1/13 0:00,Berger StraÌÙe 10,Frankfurt,,Germany,60316,3.96
346,41,3/2/13 0:00,"11, Place Bellecour",Lyon,,France,69002,5.94
347,47,3/5/13 0:00,"Via Degli Scipioni, 43",Rome,RM,Italy,192,8.91
348,56,3/10/13 0:00,307 Macacha GÌ_emes,Buenos Aires,,Argentina,1106,13.86
349,11,3/18/13 0:00,"Av. Paulista, 2022",SÌ£o Paulo,SP,Brazil,01310-200,0.99
350,12,3/31/13 0:00,"PraÌ¤a Pio X, 119",Rio de Janeiro,RJ,Brazil,20040-020,1.98
351,14,3/31/13 0:00,8210 111 ST NW,Edmonton,AB,Canada,T6G 2C7,1.98
352,16,4/1/13 0:00,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,3.96
353,20,4/2/13 0:00,541 Del Medio Avenue,Mountain View,CA,USA,94040-111,5.94
354,26,4/5/13 0:00,2211 W Berry Street,Fort Worth,TX,USA,76110,8.91
355,35,4/10/13 0:00,"Rua dos CampeÌµes Europeus de Viena, 4350",Porto,,Portugal,,13.86
356,49,4/18/13 0:00,Ordynacka 10,Warsaw,,Poland,00-358,0.99
357,50,5/1/13 0:00,C/ San Bernardo 85,Madrid,,Spain,28015,1.98
358,52,5/1/13 0:00,202 Hoxton Street,London,,United Kingdom,N1 5LH,1.98
359,54,5/2/13 0:00,110 Raeburn Pl,Edinburgh,,United Kingdom,EH4 1HH,3.96
360,58,5/3/13 0:00,"12,Community Centre",Delhi,,India,110017,5.94
361,5,5/6/13 0:00,Klanova 9/506,Prague,,Czech Republic,14700,8.91
362,14,5/11/13 0:00,8210 111 ST NW,Edmonton,AB,Canada,T6G 2C7,13.86
363,28,5/19/13 0:00,302 S 700 E,Salt Lake City,UT,USA,84102,0.99
364,29,6/1/13 0:00,796 Dundas Street West,Toronto,ON,Canada,M6J 1V1,1.98
365,31,6/1/13 0:00,194A Chain Lake Drive,Halifax,NS,Canada,B3S 1C5,1.98
366,33,6/2/13 0:00,5112 48 Street,Yellowknife,NT,Canada,X1A 1N6,3.96
367,37,6/3/13 0:00,Berger StraÌÙe 10,Frankfurt,,Germany,60316,5.94
368,43,6/6/13 0:00,"68, Rue Jouvence",Dijon,,France,21000,8.91
369,52,6/11/13 0:00,202 Hoxton Street,London,,United Kingdom,N1 5LH,13.86
370,7,6/19/13 0:00,"RotenturmstraÌÙe 4, 1010 Innere Stadt",Vienne,,Austria,1010,0.99
371,8,7/2/13 0:00,GrÌ©trystraat 63,Brussels,,Belgium,1000,1.98
372,10,7/2/13 0:00,"Rua Dr. FalcÌ£o Filho, 155",SÌ£o Paulo,SP,Brazil,01007-010,1.98
373,12,7/3/13 0:00,"PraÌ¤a Pio X, 119",Rio de Janeiro,RJ,Brazil,20040-020,3.96
374,16,7/4/13 0:00,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,5.94
375,22,7/7/13 0:00,120 S Orange Ave,Orlando,FL,USA,32801,8.91
376,31,7/12/13 0:00,194A Chain Lake Drive,Halifax,NS,Canada,B3S 1C5,13.86
377,45,7/20/13 0:00,ErzsÌ©bet krt. 58.,Budapest,,Hungary,H-1073,0.99
378,46,8/2/13 0:00,3 Chatham Street,Dublin,Dublin,Ireland,,1.98
379,48,8/2/13 0:00,Lijnbaansgracht 120bg,Amsterdam,VV,Netherlands,1016,1.98
380,50,8/3/13 0:00,C/ San Bernardo 85,Madrid,,Spain,28015,3.96
381,54,8/4/13 0:00,110 Raeburn Pl,Edinburgh,,United Kingdom,EH4 1HH,5.94
382,1,8/7/13 0:00,"Av. Brigadeiro Faria Lima, 2170",SÌ£o JosÌ© dos Campos,SP,Brazil,12227-000,8.91
383,10,8/12/13 0:00,"Rua Dr. FalcÌ£o Filho, 155",SÌ£o Paulo,SP,Brazil,01007-010,13.86
384,24,8/20/13 0:00,162 E Superior Street,Chicago,IL,USA,60611,0.99
385,25,9/2/13 0:00,319 N. Frances Street,Madison,WI,USA,53703,1.98
386,27,9/2/13 0:00,1033 N Park Ave,Tucson,AZ,USA,85719,1.98
387,29,9/3/13 0:00,796 Dundas Street West,Toronto,ON,Canada,M6J 1V1,3.96
388,33,9/4/13 0:00,5112 48 Street,Yellowknife,NT,Canada,X1A 1N6,5.94
389,39,9/7/13 0:00,"4, Rue Milton",Paris,,France,75009,8.91
390,48,9/12/13 0:00,Lijnbaansgracht 120bg,Amsterdam,VV,Netherlands,1016,13.86
391,3,9/20/13 0:00,1498 rue BÌ©langer,MontrÌ©al,QC,Canada,H2G 1A7,0.99
392,4,10/3/13 0:00,UllevÌ´lsveien 14,Oslo,,Norway,171,1.98
393,6,10/3/13 0:00,RilskÌÁ 3174/6,Prague,,Czech Republic,14300,1.98
394,8,10/4/13 0:00,GrÌ©trystraat 63,Brussels,,Belgium,1000,3.96
395,12,10/5/13 0:00,"PraÌ¤a Pio X, 119",Rio de Janeiro,RJ,Brazil,20040-020,5.94
396,18,10/8/13 0:00,627 Broadway,New York,NY,USA,10012-2612,8.91
397,27,10/13/13 0:00,1033 N Park Ave,Tucson,AZ,USA,85719,13.86
398,41,10/21/13 0:00,"11, Place Bellecour",Lyon,,France,69002,0.99
399,42,11/3/13 0:00,"9, Place Louis Barthou",Bordeaux,,France,33000,1.98
400,44,11/3/13 0:00,Porthaninkatu 9,Helsinki,,Finland,530,1.98
401,46,11/4/13 0:00,3 Chatham Street,Dublin,Dublin,Ireland,,3.96
402,50,11/5/13 0:00,C/ San Bernardo 85,Madrid,,Spain,28015,5.94
403,56,11/8/13 0:00,307 Macacha GÌ_emes,Buenos Aires,,Argentina,1106,8.91
404,6,11/13/13 0:00,RilskÌÁ 3174/6,Prague,,Czech Republic,14300,25.86
405,20,11/21/13 0:00,541 Del Medio Avenue,Mountain View,CA,USA,94040-111,0.99
406,21,12/4/13 0:00,801 W 4th Street,Reno,NV,USA,89503,1.98
407,23,12/4/13 0:00,69 Salem Street,Boston,MA,USA,2113,1.98
408,25,12/5/13 0:00,319 N. Frances Street,Madison,WI,USA,53703,3.96
409,29,12/6/13 0:00,796 Dundas Street West,Toronto,ON,Canada,M6J 1V1,5.94
410,35,12/9/13 0:00,"Rua dos CampeÌµes Europeus de Viena, 4350",Porto,,Portugal,,8.91
411,44,12/14/13 0:00,Porthaninkatu 9,Helsinki,,Finland,530,13.86
412,58,12/22/13 0:00,"12,Community Centre",Delhi,,India,110017,1.99
